filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
FRA40086	FRA40086	Verne, Jules	Voyages et aventures du Capitaine Hatteras    	NA	NA	viaf:76323989	NA	1866	NA	fra	142545	NA	NA	U	long	unspecified	T2
FRA40319	FRA40319	Aimard, Gustave; Auriac, Jean-Baptiste	Les Pieds fourchus    	NA	NA	viaf:61641578	NA	1866	NA	fra	35790	NA	NA	U	short	unspecified	T2
FRA40380	FRA40380	Gouraud, Julie		NA	NA	viaf:31987653	NA	1866	NA	fra	39552	NA	NA	U	short	unspecified	T2
FRA40458	FRA40458	Sand, George		NA	NA	viaf:46766944	NA	1866	NA	fra	80767	NA	NA	U	medium	unspecified	T2
FRA41155	FRA41155	Gaboriau, Émile	Le crime d'Orcival    	NA	NA	viaf:100177491	NA	1866	NA	fra	116778	NA	NA	U	long	unspecified	T2
FRA41176	FRA41176	du Terrail, Ponson	La résurrection de Rocambole, tome 1: Le bagne de Toulon - Antoinette    	NA	NA	viaf:17228199	NA	1866	NA	fra	79569	NA	NA	U	medium	unspecified	T2
FRA41177	FRA41177	du Terrail, Ponson	La résurrection de Rocambole, tome 2: Saint-Lazare - L'auberge maudite - La maison de fous    	NA	NA	NA	NA	1866	NA	fra	170981	NA	NA	U	long	unspecified	T2
FRA41178	FRA41178	du Terrail, Ponson	La résurrection de Rocambole, tome 3: Redemption - La Vengeance de Vasilika    	NA	NA	viaf:17228199	NA	1866	NA	fra	69104	NA	NA	U	medium	unspecified	T2
FRA40020	FRA40020	Daudet, Alphonse	Le petit chose    	NA	NA	viaf:4928621	NA	1867	NA	fra	86121	NA	NA	U	medium	unspecified	T2
FRA40026	FRA40026	Erckmann, Émile	Le blocus    	NA	NA	viaf:31995972	NA	1867	NA	fra	67245	NA	NA	U	medium	unspecified	T2
FRA40379	FRA40379	Gouraud, Julie		NA	NA	viaf:31987653	NA	1867	NA	fra	40459	NA	NA	U	short	unspecified	T2
FRA40637	FRA40637	Féval, Paul		NA	NA	viaf:17222447	NA	1867	NA	fra	142939	NA	NA	U	long	unspecified	T2
FRA41029	FRA41029	Gaboriau, Émile	Les esclaves de Paris, tome 2    	NA	NA	NA	NA	1867	NA	fra	148380	NA	NA	U	long	unspecified	T2
FRA41165	FRA41165	du Terrail, Ponson	Les trésors du Rajah (Le dernier mot de Rocambole, 4)    	NA	NA	viaf:17228199	NA	1867	NA	fra	48761	NA	NA	U	short	unspecified	T2
FRA41166	FRA41166	du Terrail, Ponson	Les millions de la Bohémienne (Le dernier mot de Rocambole, 2)    	NA	NA	viaf:17228199	NA	1867	NA	fra	104180	NA	NA	U	long	unspecified	T2
FRA41167	FRA41167	du Terrail, Ponson	Un drame dans l'inde (Le dernier mot de Rocambole, 3)    	NA	NA	viaf:17228199	NA	1867	NA	fra	100802	NA	NA	U	long	unspecified	T2
FRA03103_Ponson	FRA03103	Ponson du Terrail, Pierre Alexis	La fée d'Auteuil    	1829	1871	viaf:17228199	NA	1868	viaf:missing	fra	64938	NA	NA	M	medium	low	T2
FRA40012	FRA40012	Alexis Ponson du Terrail, Pierre	La fée d'Auteuil    	NA	NA	viaf:17228199	NA	1868	NA	fra	61344	NA	NA	U	medium	unspecified	T2
FRA40305	FRA40305	Aimard, Gustave		NA	NA	viaf:9841962	NA	1868	NA	fra	56917	NA	NA	U	medium	unspecified	T2
FRA40374	FRA40374	Gouraud, Julie		NA	NA	viaf:31987653	NA	1868	NA	fra	36654	NA	NA	U	short	unspecified	T2
FRA40605	FRA40605	Féval, Paul H.C.	Le Cavalier Fortune    	NA	NA	viaf:17222447	NA	1868	NA	fra	128790	NA	NA	U	long	unspecified	T2
FRA40632	FRA40632	Féval, Paul		NA	NA	viaf:17222447	NA	1868	NA	fra	127084	NA	NA	U	long	unspecified	T2
FRA41028	FRA41028	Gaboriau, Émile	Les esclaves de Paris, tome 1    	NA	NA	NA	NA	1868	NA	fra	146666	NA	NA	U	long	unspecified	T2
FRA41172	FRA41172	du Terrail, Ponson	Les misères de Londres, tome 1: Prologue - La nourrisseuse d'enfants    	NA	NA	viaf:17228199	NA	1868	NA	fra	53587	NA	NA	U	medium	unspecified	T2
FRA41173	FRA41173	du Terrail, Ponson	Les misères de Londres, tome 2: L'enfant perdu    	NA	NA	viaf:17228199	NA	1868	NA	fra	69860	NA	NA	U	medium	unspecified	T2
FRA41174	FRA41174	du Terrail, Ponson	Les misères de Londres, tome 3: La cage aux oiseaux    	NA	NA	viaf:17228199	NA	1868	NA	fra	59706	NA	NA	U	medium	unspecified	T2
FRA41175	FRA41175	du Terrail, Ponson	Les misères de Londres, tome 4: Les tribulations de Shoking    	NA	NA	viaf:17228199	NA	1868	NA	fra	90930	NA	NA	U	medium	unspecified	T2
FRA03901_Stolz	FRA03901	Stolz, Madame de [Fanny de Bégon]	La Maison roulante    	1820	1898	viaf:19850120 wikidata:Q3275360	Bibliothèque électronique du Québec (BEQ)     	1869	viaf:309282062	fr	52092	NA	heterodiegetic     	F	medium	low	T2
FRA40032	FRA40032	Erckmann, Émile	Histoire d'un paysan, 1789-1815, I    	NA	NA	viaf:31995972	NA	1869	NA	fra	79934	NA	NA	U	medium	unspecified	T2
